nr,node,latitude,longitude
399,2024909,63.47274200,10.91910960
400,2024910,63.47276120,10.92076170
401,2024911,63.47276680,10.92101740
402,1693773,63.47279000,10.92322640
403,2024912,63.47284930,10.92475480
404,1693234,63.47047200,10.92508270
405,1693233,63.47045840,10.92362770
406,1693249,63.46972460,10.92358630
407,1693248,63.46927930,10.92355320
408,1693247,63.46879200,10.92352030
409,1693246,63.46823230,10.92348890
